,user,user_rt,weight,idd
638,MarioMa304055,patxilopez,174,1339617333543841804
639,Shanesa6,CristinaSegui_,411,1339667170842832902
640,JesusGallego97,PaliativosUGR,63,1339603008607293440
641,starbuck1127,Camila_RojasV,892,1339622767516397574
642,mangelhv,Panchoundurraga,36,1339642115777818626
643,javinyol,iBarbarellah,91,1339635638283452419
644,jogoblan,PiliCancela,37,1339622421477941249
645,coboortiz99,gpscongreso,85,1339525129248907266
646,erikavergara,Camila_RojasV,892,1339622767516397574
647,jumadanalv,rakeld12341234,71,1339606182093225987
648,Luciar73,vladomirosevic,28,1339660338942373889
649,Marian_Ros_2,juralde,103,1339549990545440769
650,somosizquierda_,abalosmeco,216,1339604490815680512
651,jarur_aray,Camila_RojasV,892,1339622767516397574
652,Josu_Estarrona,RuizdePinedo,44,1339578569182203905
653,MarGR_65,sanchezcastejon,1313,1339587082193260546
654,JoseLuisPrietoE,ariasandgli,2,1339560768237428737
655,mariaalopez98,sanchezcastejon,1313,1339587082193260546
656,jgandoni,mlalanda,189,1339610851649662977
657,Totomi_val,Camila_RojasV,892,1339622767516397574
658,bdelat_2,salvadorilla,363,1339623840998170624
659,Bingen222,diostuitero,541,1339586935594000392
660,pepebrantuas,galsuinda,2,1339677985222356993
661,mariaredondo18,salvadorilla,363,1339623840998170624
662,MarcelBL21,juralde,103,1339549990545440769
663,Chiclanasiemprr,gomezdcelis,72,1339630908278759432
664,NajeraRoji,pardodevera,516,1339584714064056324
665,MarinaL_98,salvadorilla,363,1339623840998170624
666,marfuentesc,ramonlobo,742,1339607957810528256
667,7Josean7,tito_morano,188,1339601736797810697
668,JosePepehz,pardodevera,516,1339584714064056324
669,jamarquezorl,mlalanda,23,1339624591090659328
670,lucia_piedras,sanchezcastejon,1313,1339587082193260546
671,MartaGallardoPe,salvadorilla,363,1339623840998170624
672,om_gemma,salvadorilla,363,1339623840998170624
673,javinyol,maicucha30,5,1339591460811808769
674,javier_truebaa,sanchezcastejon,1313,1339587082193260546
675,KhintiIa,Tercio_t5,24,1339638204115410945
676,pilarpe23800441,sanidadgob,134,1339613665016881155
677,Antonio16464685,sanchezcastejon,1313,1339587082193260546
678,tinocabo58,iBarbarellah,91,1339635638283452419
679,ivanauta,vladomirosevic,97,1339635893175537668
680,djmlm95,CristinaSegui_,411,1339667170842832902
681,TaniaCrespo3,PiliCancela,37,1339622421477941249
682,MilkyPB,diostuitero,541,1339586935594000392
683,JosePepehz,patxilopez,174,1339617333543841804
684,02Sirbel,patxilopez,174,1339617333543841804
685,CsEspada,PatriciaGuaspB,3,1339586458491875328
686,edipaf,ramonlobo,742,1339607957810528256
687,mariajbarri,mlalanda,189,1339610851649662977
688,garciia_leiire,PSOE,415,1339584712772218886
689,noemipzz,beatriz_fraile,2,1339671894904201220
690,EspeGordo,pardodevera,516,1339584714064056324
691,meryss_4,PaliativosUGR,63,1339603008607293440
692,joserg0,ifdezdiaz,1,1338971193169293314
693,Emili57236831,____Daniel___E,85,1339570056943026177
694,yubarta2000,ramonlobo,742,1339607957810528256
695,NCaneteH,mlalanda,23,1339624591090659328
696,Acuadros5,pardodevera,516,1339584714064056324
697,hereje2011,tito_morano,188,1339601736797810697
698,Javier_Rol,gpscongreso,99,1339584176517877760
699,DDHH_PS,LeoSotoChile,39,1339636403337048070
700,Carolnauta,Camila_RojasV,892,1339622767516397574
701,Acuadros5,tito_morano,188,1339601736797810697
702,PeterPDeMille1,AnitaBotwin,55,1339676696723767296
703,unaidiaz,PSOE,415,1339584712772218886
704,mtorrez2509,lam_pena,1,1339676194925649920
705,vpalacios2,patxilopez,174,1339617333543841804
706,JA_Verdugo,sanchezcastejon,1313,1339587082193260546
